#{"t_start": 1696320823.1795056, "env_id": "PandaReach-v3"}
r,l,t,is_success
-5.0,6,43.703164,True
-6.0,7,43.755563,True
0.0,1,43.763107,True
-3.0,4,43.796579,True
-6.0,7,43.843325,True
-50.0,50,44.209404,False
-3.0,4,44.24297,True
-2.0,3,44.268379,True
-3.0,4,44.300955,True
0.0,1,44.308722,True
-3.0,4,44.338768,True
-2.0,3,44.363108,True
-7.0,8,44.429322,True
-2.0,3,44.452101,True
-3.0,4,44.483812,True
-2.0,3,44.510249,True
-3.0,4,44.545682,True
-2.0,3,44.572407,True
-5.0,6,44.621003,True
-3.0,4,44.655708,True
-5.0,6,44.704818,True
-8.0,9,44.778949,True
-2.0,3,44.804592,True
-3.0,4,44.840045,True
-8.0,9,44.912125,True
-3.0,4,44.944455,True
-5.0,6,44.994228,True
-3.0,4,45.037475,True
-3.0,4,45.074513,True
-9.0,10,45.158082,True
-8.0,9,45.232291,True
-1.0,2,45.24875,True
-50.0,50,45.659014,False
-3.0,4,45.691473,True
-5.0,6,45.740854,True
0.0,1,45.749759,True
-3.0,4,45.783786,True
-2.0,3,45.807208,True
-2.0,3,45.830851,True
-3.0,4,45.865926,True
-50.0,50,46.277973,False
-6.0,7,46.334468,True
-2.0,3,46.360335,True
-8.0,9,46.436174,True
-1.0,2,46.456455,True
-3.0,4,46.491466,True
-4.0,5,46.533975,True
-7.0,8,46.605268,True
-2.0,3,46.629468,True
-4.0,5,46.674126,True
-3.0,4,46.711302,True
-3.0,4,46.748675,True
-9.0,10,46.829334,True
-5.0,6,46.877845,True
-3.0,4,46.908953,True
-1.0,2,46.925232,True
-2.0,3,46.94909,True
-4.0,5,46.989314,True
-1.0,2,47.005184,True
-5.0,6,47.066595,True
-2.0,3,47.090057,True
-5.0,6,47.140319,True
-2.0,3,47.165358,True
0.0,1,47.17356,True
-4.0,5,47.215997,True
-2.0,3,47.239917,True
-2.0,3,47.262565,True
-6.0,7,47.32015,True
-1.0,2,47.334929,True
-4.0,5,47.371257,True
0.0,1,47.379098,True
-3.0,4,47.413803,True
-1.0,2,47.428285,True
-5.0,6,47.472085,True
-2.0,3,47.494778,True
-2.0,3,47.52002,True
-5.0,6,47.571293,True
-3.0,4,47.600284,True
-2.0,3,47.623611,True
-6.0,7,47.677278,True
-1.0,2,47.691311,True
-4.0,5,47.726731,True
-2.0,3,47.748317,True
-4.0,5,47.788333,True
-4.0,5,47.825386,True
-3.0,4,47.854004,True
0.0,1,47.861299,True
-2.0,3,47.888427,True
-1.0,2,47.903995,True
-4.0,5,47.943835,True
-2.0,3,47.966968,True
-3.0,4,47.999892,True
-3.0,4,48.029277,True
-3.0,4,48.058485,True
-4.0,5,48.094913,True
-3.0,4,48.129058,True
-2.0,3,48.153048,True
-3.0,4,48.181835,True
-1.0,2,48.195713,True
-8.0,9,48.263005,True
-2.0,3,48.284285,True
-2.0,3,48.305594,True
-2.0,3,48.326656,True
-1.0,2,48.340447,True
0.0,1,48.347747,True
-2.0,3,48.371508,True
-4.0,5,48.405634,True
-2.0,3,48.432364,True
-2.0,3,48.455525,True
-2.0,3,48.477204,True
-5.0,6,48.521134,True
-4.0,5,48.568105,True
-3.0,4,48.602237,True
-2.0,3,48.6257,True
0.0,1,48.634304,True
-2.0,3,48.658215,True
-2.0,3,48.682199,True
-4.0,5,48.720113,True
-1.0,2,48.734461,True
-3.0,4,48.774505,True
-1.0,2,48.796043,True
-2.0,3,48.821559,True
-3.0,4,48.854617,True
-1.0,2,48.870748,True
-4.0,5,48.914847,True
-4.0,5,48.951076,True
-4.0,5,48.9877,True
-2.0,3,49.012419,True
-2.0,3,49.037315,True
-5.0,6,49.0835,True
-1.0,2,49.098384,True
-1.0,2,49.115244,True
-2.0,3,49.137973,True
-2.0,3,49.160516,True
-2.0,3,49.182627,True
-1.0,2,49.202013,True
-4.0,5,49.24103,True
0.0,1,49.249573,True
-2.0,3,49.272785,True
-3.0,4,49.306657,True
-3.0,4,49.338631,True
-3.0,4,49.372759,True
-3.0,4,49.40376,True
-2.0,3,49.430408,True
-1.0,2,49.448354,True
-3.0,4,49.477692,True
0.0,1,49.485595,True
-4.0,5,49.52483,True
-3.0,4,49.556809,True
-1.0,2,49.571348,True
-2.0,3,49.593934,True
-1.0,2,49.610554,True
-4.0,5,49.649995,True
0.0,1,49.657281,True
-2.0,3,49.678932,True
-2.0,3,49.705557,True
-3.0,4,49.735284,True
-2.0,3,49.757394,True
-4.0,5,49.794461,True
-3.0,4,49.828806,True
-4.0,5,49.868871,True
-2.0,3,49.890047,True
-2.0,3,49.912823,True
-5.0,6,49.963048,True
-1.0,2,49.978936,True
-2.0,3,50.000057,True
-2.0,3,50.022034,True
-2.0,3,50.04585,True
-3.0,4,50.078764,True
-5.0,6,50.122291,True
-2.0,3,50.143773,True
-2.0,3,50.169627,True
-1.0,2,50.185048,True
-2.0,3,50.2059,True
-3.0,4,50.235983,True
-1.0,2,50.252848,True
-3.0,4,50.283362,True
-1.0,2,50.298007,True
-2.0,3,50.320012,True
-1.0,2,50.336343,True
-1.0,2,50.351947,True
-2.0,3,50.374252,True
-1.0,2,50.389018,True
-2.0,3,50.413666,True
0.0,1,50.422681,True
-4.0,5,50.460867,True
-2.0,3,50.483386,True
-2.0,3,50.510279,True
-2.0,3,50.533284,True
-2.0,3,50.556152,True
-1.0,2,50.571034,True
-3.0,4,50.604774,True
-3.0,4,50.635239,True
-1.0,2,50.649928,True
-2.0,3,50.670799,True
-2.0,3,50.697268,True
-2.0,3,50.720301,True
-3.0,4,50.749929,True
-1.0,2,50.764111,True
-3.0,4,50.79845,True
-2.0,3,50.822685,True
-10.0,11,50.903731,True
-3.0,4,50.931682,True
-3.0,4,50.962995,True
-3.0,4,50.99151,True
-3.0,4,51.021193,True
-1.0,2,51.035388,True
-3.0,4,51.066332,True
-1.0,2,51.081921,True
-3.0,4,51.11061,True
-2.0,3,51.132699,True
-2.0,3,51.158902,True
-2.0,3,51.182073,True
-2.0,3,51.203349,True
-2.0,3,51.224983,True
-2.0,3,51.254708,True
0.0,1,51.266591,True
-3.0,4,51.295889,True
-3.0,4,51.328272,True
-3.0,4,51.361665,True
-3.0,4,51.394874,True
-1.0,2,51.413249,True
-3.0,4,51.450061,True
-1.0,2,51.467911,True
-2.0,3,51.492288,True
-4.0,5,51.532944,True
-3.0,4,51.561664,True
-2.0,3,51.58675,True
-2.0,3,51.610765,True
-3.0,4,51.641515,True
-3.0,4,51.670542,True
-2.0,3,51.695719,True
-3.0,4,51.728544,True
-3.0,4,51.759505,True
-2.0,3,51.783227,True
-2.0,3,51.807004,True
-1.0,2,51.824039,True
0.0,1,51.833032,True
-1.0,2,51.849379,True
-3.0,4,51.881066,True
0.0,1,51.889251,True
-2.0,3,51.911932,True
-3.0,4,51.942166,True
-3.0,4,51.973296,True
-3.0,4,52.00755,True
-1.0,2,52.023401,True
-3.0,4,52.056849,True
-3.0,4,52.090965,True
-1.0,2,52.107763,True
-3.0,4,52.13969,True
-3.0,4,52.17114,True
-1.0,2,52.188615,True
-2.0,3,52.212781,True
-4.0,5,52.24991,True
-1.0,2,52.264333,True
-3.0,4,52.299105,True
-2.0,3,52.321839,True
-3.0,4,52.351632,True
-4.0,5,52.388103,True
-2.0,3,52.413082,True
-4.0,5,52.451587,True
-2.0,3,52.472181,True
-2.0,3,52.494073,True
-2.0,3,52.519972,True
-3.0,4,52.549929,True
-2.0,3,52.571227,True
-1.0,2,52.58677,True
-2.0,3,52.61072,True
-3.0,4,52.642742,True
-2.0,3,52.66519,True
-2.0,3,52.688127,True
-3.0,4,52.721602,True
-3.0,4,52.75567,True
-2.0,3,52.777115,True
-3.0,4,52.806625,True
-3.0,4,52.840561,True
-3.0,4,52.872032,True
-1.0,2,52.887163,True
-1.0,2,52.901349,True
-3.0,4,52.935081,True
-2.0,3,52.957561,True
-2.0,3,52.980951,True
0.0,1,52.988329,True
-1.0,2,53.004303,True
-1.0,2,53.020439,True
-4.0,5,53.058683,True
-3.0,4,53.08802,True
-1.0,2,53.104565,True
0.0,1,53.112269,True
-2.0,3,53.137202,True
-3.0,4,53.166571,True
-3.0,4,53.200127,True
-3.0,4,53.229625,True
-1.0,2,53.244242,True
0.0,1,53.25209,True
-2.0,3,53.274619,True
0.0,1,53.283549,True
-2.0,3,53.306288,True
-2.0,3,53.329346,True
0.0,1,53.337671,True
-3.0,4,53.373929,True
-3.0,4,53.404283,True
-1.0,2,53.420272,True
-2.0,3,53.442813,True
-6.0,7,53.496536,True
-2.0,3,53.519726,True
-2.0,3,53.541148,True
-3.0,4,53.573404,True
-1.0,2,53.589548,True
-1.0,2,53.605267,True
-2.0,3,53.627138,True
-3.0,4,53.660435,True
-5.0,6,53.706494,True
0.0,1,53.715349,True
-2.0,3,53.736665,True
-1.0,2,53.753278,True
0.0,1,53.760789,True
-4.0,5,53.799211,True
-3.0,4,53.828985,True
-2.0,3,53.854181,True
-4.0,5,53.892496,True
-2.0,3,53.914438,True
0.0,1,53.921922,True
-1.0,2,53.937848,True
-2.0,3,53.9625,True
-1.0,2,53.977907,True
-2.0,3,54.001211,True
-1.0,2,54.018982,True
-4.0,5,54.05974,True
-3.0,4,54.089108,True
-3.0,4,54.118503,True
-1.0,2,54.137441,True
-2.0,3,54.170613,True
-4.0,5,54.206156,True
-5.0,6,54.250751,True
-1.0,2,54.267404,True
-2.0,3,54.28989,True
0.0,1,54.29883,True
-2.0,3,54.321658,True
-3.0,4,54.354418,True
-1.0,2,54.369475,True
-2.0,3,54.390564,True
-4.0,5,54.425619,True
-3.0,4,54.45724,True
-3.0,4,54.486832,True
-4.0,5,54.522032,True
-1.0,2,54.536539,True
-1.0,2,54.553975,True
-3.0,4,54.585478,True
-1.0,2,54.600369,True
-3.0,4,54.629679,True
-3.0,4,54.663207,True
-1.0,2,54.677788,True
-4.0,5,54.715011,True
-1.0,2,54.729192,True
-4.0,5,54.770409,True
0.0,1,54.777891,True
-2.0,3,54.800392,True
-1.0,2,54.815614,True
-3.0,4,54.848924,True
-2.0,3,54.871096,True
-1.0,2,54.886295,True
-3.0,4,54.915852,True
-6.0,7,54.973099,True
-2.0,3,54.996095,True
-2.0,3,55.017999,True
-1.0,2,55.032678,True
0.0,1,55.040572,True
-1.0,2,55.059505,True
-6.0,7,55.112233,True
-2.0,3,55.134405,True
-4.0,5,55.173819,True
-2.0,3,55.19682,True
0.0,1,55.20435,True
-5.0,6,55.249116,True
-3.0,4,55.283126,True
-1.0,2,55.298699,True
-1.0,2,55.314005,True
-2.0,3,55.336047,True
-5.0,6,55.383703,True
-2.0,3,55.405914,True
-2.0,3,55.428034,True
-1.0,2,55.442585,True
-2.0,3,55.466926,True
-3.0,4,55.497136,True
-2.0,3,55.520034,True
-1.0,2,55.534781,True
-2.0,3,55.574414,True
-1.0,2,55.590134,True
0.0,1,55.599402,True
-2.0,3,55.622214,True
-4.0,5,55.663281,True
-2.0,3,55.685611,True
-4.0,5,55.722325,True
-3.0,4,55.752135,True
-3.0,4,55.78411,True
-4.0,5,55.821179,True
-2.0,3,55.842803,True
-1.0,2,55.857428,True
-2.0,3,55.883633,True
-2.0,3,55.907251,True
-2.0,3,55.931442,True
-2.0,3,55.953611,True
-2.0,3,55.976054,True
-2.0,3,55.99924,True
0.0,1,56.006305,True
-1.0,2,56.022023,True
-1.0,2,56.037981,True
-5.0,6,56.085338,True
-2.0,3,56.107639,True
-1.0,2,56.122402,True
-4.0,5,56.162301,True
